ID,HorO,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5
yamaguchi,H,-0.02372479,-0.04056513,-0.01813433,-0.01872202,-0.01872202,-0.01880597,-0.01880597,-0.01897388,-0.02795709,-0.02913246,-0.02913246,-0.02913246,-0.02913246,-0.02930037
yamaguchi,H,0.06671397,0.02293316,0.05717351,0.05918844,0.05918844,0.05935635,0.05935635,0.05935635,0.02275187,0.02384328,0.02384328,0.02417911,0.0240112,0.02409515
yamaguchi,H,0,0,0.0007555971,-0.0005037314,-0.0007555971,-0.0008395523,-0.0008395523,-0.0009235076,0.0009235076,-0.001091418,-0.001259328,-0.001343284,-0.001343284,-0.00176306
yamaguchi,H,-0.01704839,-0.001523688,-0.01880597,-0.01847015,-0.01830224,-0.01830224,-0.01645523,-0.01645523,-0.001427239,-0.002854478,-0.002602612,-0.002602612,-0.001847015,-0.001847015
yamaguchi,H,-0.05141275,0.03799957,-0.05566232,-0.05415113,-0.05415113,-0.05415113,-0.05415113,-0.05356344,0.03786381,0.03475747,0.03475747,0.03416978,0.03416978,0.02972015
yamaguchi,H,-0.05174858,0.01004797,-0.0457556,-0.04768657,-0.04768657,-0.0481903,-0.0481903,-0.04793844,0.01259328,0.00915112,0.00915112,0.008731344,0.008731344,0.006716419
yamaguchi,H,-0.03784183,0.007169828,-0.03509329,-0.03500933,-0.03500933,-0.03425374,-0.03425374,-0.03316231,0.006800374,0.004617538,0.004617538,0.004281717,0.004281717,0.003358209
yamaguchi,H,-0.01352838,0.0330346,-0.02233209,-0.02384328,-0.02384328,-0.0240112,-0.02375933,-0.02317164,0.02972015,0.02627799,0.02627799,0.02552239,0.02468284,0.02308769
yamaguchi,H,-0.04821954,0.009802803,-0.05272388,-0.05112873,-0.05112873,-0.05054105,-0.05054105,-0.0489459,0.01158582,0.009906718,0.009906718,0.009906718,0.009906718,0.01007463
yamaguchi,H,-0.07776999,-0.02471446,-0.07346082,-0.07085822,-0.07085822,-0.07027053,-0.07027053,-0.06817165,-0.01015858,-0.01066231,-0.01066231,-0.0104944,-0.0104944,-0.01007463
yamaguchi,H,-0.03981457,0.00154157,-0.045,-0.04491605,-0.04491605,-0.04491605,-0.04491605,-0.045,0.008647389,0.005205224,0.005205224,0.005205224,0.005205224,0.003610075
yamaguchi,H,-0.01569531,-0.009638842,-0.02736941,-0.02594217,-0.02594217,-0.02594217,-0.02594217,-0.02602612,0.0005876866,-0.001007463,-0.001007463,-0.001343284,-0.001343284,-0.002938433
yamaguchi,H,0,0,-0.01569963,-0.0127612,-0.01234142,-0.01150187,-0.01150187,-0.01116605,0.01402052,0.0120056,0.01175373,0.01091418,0.01091418,0.009486941
yamaguchi,H,0.07704382,-0.0287303,0.05818097,0.05969217,0.05969217,0.05977612,0.05994403,0.06002799,-0.01360075,-0.01486008,-0.01486008,-0.01486008,-0.01494403,-0.01502799
yamaguchi,H,0.07841352,0.01500018,0.04928172,0.04928172,0.04936568,0.04936568,0.04936568,0.050625,0.02434702,0.02375933,0.02359142,0.02317164,0.02317164,0.02258396
yamaguchi,H,-0.0608189,0.007144623,-0.06296642,-0.06128732,-0.06128732,-0.0609515,-0.0609515,-0.06061568,0.007555971,0.007891792,0.007891792,0.007723881,0.007723881,0.007723881
yamaguchi,H,0.07404245,0.0175444,0.04315299,0.04432836,0.04432836,0.04441232,0.04441232,0.04441232,0.02073694,0.01972948,0.01972948,0.01972948,0.01972948,0.01972948
yamaguchi,H,0.0308638,-0.008349221,0.01704291,0.01620336,0.01620336,0.01578358,0.01578358,0.01511194,-0.005792911,-0.00545709,-0.00545709,-0.00545709,-0.00545709,-0.005121269
yamaguchi,H,0.0701303,-0.02048768,0.04919777,0.04978545,0.04978545,0.04961754,0.04961754,0.04961754,-0.01561567,-0.01628732,-0.01628732,-0.01645523,-0.01670709,-0.01712687
yamaguchi,H,-0.05242196,0.03151909,-0.04902985,-0.04743471,-0.04567165,-0.04567165,-0.01250933,-0.01250933,0.02392724,0.02333955,0.01888993,0.01888993,0.01091418,0.01091418
yamaguchi,H,0.0621895,0.0102786,0.03601679,0.03736008,0.03736008,0.03777985,0.03777985,0.03752799,0.004953359,0.004365672,0.004365672,0.004281717,0.004281717,0.004197761
yamaguchi,H,0.007553227,0.008505695,-0.01334888,-0.01351679,-0.01351679,-0.01385261,-0.01410448,-0.01427239,0.00738806,0.00528918,0.00528918,0.004869403,0.004533582,0.003945896
yamaguchi,H,0,0,-0.01544776,-0.01603545,-0.01603545,-0.01595149,-0.01595149,-0.01586754,-0.002938433,-0.004953359,-0.004953359,-0.005037314,-0.005037314,-0.005037314
yamaguchi,H,0.06793867,0.03086644,0.04063433,0.04105411,0.04105411,0.0408862,0.0408862,0.03996269,0.03081157,0.02997202,0.02997202,0.02988806,0.02988806,0.02988806
yamaguchi,H,0.06713282,0.040596,0.03962687,0.03987873,0.03987873,0.04004664,0.04004664,0.04080224,0.04290112,0.03912314,0.03912314,0.03794776,0.03794776,0.03584888
yamaguchi,H,-0.04235118,0.01203234,-0.03375,-0.02233209,-0.02233209,-0.01460821,-0.01460821,0.005541045,0.009906718,0.0127612,0.0127612,0.01628732,0.01628732,0.02476679
